close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,kalman_price_vs_raw,kalman_velocity,kalman_trend_dir,kalman_noise_ratio,kalman_ema_agreement,kalman_acceleration,garch_vol,realized_vs_garch,ou_theta,ou_zscore,ou_rev_time,ou_mean_dist,vwap_dist,vwap_direction,session_asian,session_london,session_ny,session_overlap,session_night,session_strength,label,label_strength,symbol,trend5m
5642.507,1773307200,5642.507,5642.18,5642.18,5641.44226859409,5641.368983309242,5642.86402504824,5642.791952554801,99.99999996963123,0.07328528484777053,5639.354600000001,1.9798175991495266,5643.3142351983,5635.3949648017015,0.0014042866530503723,0.8980669736019321,0.3292857142856909,5.835805153377585e-05,0.0001887339008744372,0.00020172704429092386,-6.327018454741254e-05,0,0,5.9728792290825755e-05,1.0,5.7956321847107015e-05,5.9728792290825755e-05,0.00017513013782269576,0.00029233141483075856,0.0005882050436321438,0,1,0,0.0002403097588796686,3.195805906050693e-05,1.0,0.0006297141950642156,1.0,8.057317601341203e-06,0.002588107215191177,-0.9774514174156393,0.8403334031461027,0.9903201287586478,0.0238000490341971,0.000498670615083762,0.0003918296919901708,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.0002459899473763753,CRASH1000,1
5642.848,1773307260,5642.848,5642.511,5642.511,5641.754653350959,5641.503439372038,5642.863396614976,5642.7925102408235,99.99999996973628,0.2512139789214416,5639.68825,1.9780561662755964,5643.644362332551,5635.732137667449,0.0014029542617186787,0.8993503892585729,0.330428571428586,5.855705690257579e-05,0.00019379549736200244,0.00023833374248756053,-2.7285110225579645e-06,0,0,6.043412972289502e-05,1.0,5.9725182635803164e-05,6.043412972289502e-05,0.00017494227525280444,0.0002885900567607136,0.0005952664877025092,0,1,0,0.0002085309495283873,3.944163540323478e-05,1.0,0.00048397085865752504,1.0,6.984414631747583e-06,0.0025872593267733655,-0.9773671104271117,0.017850141299412304,1.8103449410387358,1.0,0.0006194680504751786,0.000473615760829414,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.0002518231928275007,CRASH1000,1
5643.207,1773307320,5643.207,5642.854,5642.854,5642.077397050746,5641.658308520035,5642.876871257527,5642.796634517034,99.99999996982758,0.4190885307116332,5640.0224499999995,1.9797716367724985,5643.9819932735445,5636.0629067264545,0.0014040877704467377,0.9021360267972873,0.33142857142859483,5.8730535921966854e-05,0.0002002104667767622,0.00027450997477584705,5.850362324142286e-05,0,0,6.362035624570643e-05,1.0,6.255699686719863e-05,6.362035624570643e-05,0.00018379453295456244,0.0002992101949847323,0.0005952285965052104,0,1,0,0.0001805427853248066,4.591973531074839e-05,1.0,0.0003624251716704542,1.0,5.925393676478681e-06,0.0025865400411828965,-0.9772937465818304,0.016794467906375864,1.8251055695818867,1.0,0.0006239263313889947,0.0006458362580516439,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00024932631392030156,CRASH1000,1
5643.535,1773307380,5643.535,5643.214,5643.214,5642.401308817247,5641.828916836395,5642.9026802278195,5642.803981437262,99.99999996978852,0.5723919808515348,5640.3599,1.9742602584170432,5644.308420516834,5636.4113794831665,0.0014000952374808293,0.9020619857960351,0.331000000000001,5.8651182282027313e-05,0.00020092352895590082,0.00030239895408972454,0.00011205576420730551,0,0,5.812297865371835e-05,1.0,5.6882478672598095e-05,5.812297865371835e-05,0.0001821885201028956,0.00029671060665974376,0.0005872108248201959,0,1,0,0.0001495378416925908,5.1284239313958785e-05,1.0,0.00026270962970300217,1.0,4.941224030507963e-06,0.002585936132316988,-0.9773191304762082,0.019585789768233493,1.8203110870414898,1.0,0.0006227900741778629,0.0006408263096302978,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00025143815002473963,CRASH1000,1
5643.895,1773307440,5643.895,5643.545,5643.545,5642.733240191193,5642.016742578541,5642.94159472869,5642.81483734336,99.99999997024442,0.7164976126514375,5640.6990000000005,1.9696535093508907,5644.638307018702,5636.759692981299,0.0013967442753820346,0.9056551044049831,0.33607142857148836,5.954601008195375e-05,0.00020588600583366177,0.0003329053257294711,0.00016895536756950908,0,0,6.378980550321309e-05,1.0,6.201775656973721e-05,6.378980550321309e-05,0.00018554460442678266,0.00030573343234966923,0.0005962203565196021,0,1,0,0.000125718623633522,5.5793203230250024e-05,1.0,0.00018739307958469148,1.0,4.153598425903461e-06,0.0025854097580763086,-0.976968406035916,0.02069848485980988,1.8371114226675358,0.9662076199215953,0.000626750785885295,0.000652042665027778,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00024451199038947387,CRASH1000,1
5644.269,1773307500,5644.269,5643.901,5643.901,5643.074520148705,5642.221493253219,5642.993649837369,5642.829306623526,99.99999997069904,0.8530268954864368,5641.0381,1.9713653269111768,5644.9808306538225,5637.095369346177,0.001397874144414222,0.9097287240223865,0.34128571428573196,6.0465883940990755e-05,0.00021167181950727161,0.0003628901753023658,0.0002260059538907934,0,0,6.626629304758321e-05,1.0,6.520312812014002e-05,6.626629304758321e-05,0.00018819086381199188,0.0003122725412658938,0.0006046952431704534,0,1,0,0.00010566240516587084,5.9581800469266945e-05,1.0,0.00014005659158245428,1.0,3.389843841441488e-06,0.0025849756162491023,-0.9766086839574922,0.01794995863403912,1.859587333073046,1.0,0.0006329002841670076,0.0006580891639616369,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00023900349186053323,CRASH1000,1
5644.614,1773307560,5644.614,5644.279,5644.279,5643.416626782326,5642.438993866563,5643.057192981002,5642.847064766575,99.99999997061293,0.9776329157630244,5641.373949999999,1.980217836774702,5645.334385673548,5637.41351432645,0.0014040677709546273,0.9090522188693927,0.3402857142856582,6.0285028220823996e-05,0.0002121716854983617,0.00038547268934607565,0.0002758800709895094,0,0,6.112394713989341e-05,1.0,5.9352133372414956e-05,6.112394713989341e-05,0.00019119222260510557,0.0003129625323949166,0.000601642907030618,0,1,0,8.317327614108901e-05,6.256284412265787e-05,1.0,0.00012227240348980492,1.0,2.619015659089388e-06,0.0025846127679169423,-0.9766753741076084,0.012433397153241335,1.8610431758734463,1.0,0.0006339081453819211,0.0006528229338671986,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00023792592372140183,CRASH1000,1
5644.954,1773307620,5644.954,5644.623,5644.623,5643.758265275143,5642.667630787784,5643.131577569982,5642.868029296262,99.99999997040794,1.0906344873583294,5641.710550000001,1.9883869280910087,5645.687323856183,5637.733776143818,0.0014097759255594076,0.9077991504176188,0.3379285714285548,5.98638308529272e-05,0.0002118685224727429,0.0004051929622330599,0.00032294523084684673,0,0,6.0234411068700095e-05,1.0,5.8639877277920087e-05,6.0234411068700095e-05,0.0001876363752336406,0.00030957574301268017,0.0006088785662158418,0,1,0,6.272272607332106e-05,6.480962125739813e-05,1.0,0.00012407919786985516,1.0,1.888860787580151e-06,0.0025842916348758865,-0.9768354593852376,0.012491322121991255,1.8548736056942066,1.0,0.0006346060430898239,0.0006459974203349322,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00022905412515329175,CRASH1000,1
5645.275,1773307680,5645.275,5644.96,5644.96,5644.095317436222,5642.904664352531,5643.215633351551,5642.891979253513,99.99999997048282,1.190653083691359,5642.04595,1.9959630697457837,5646.037876139491,5638.054023860508,0.0014150633209542099,0.904447613392052,0.3387857142856774,6.00122605693571e-05,0.00020901180746064945,0.00042005594431584553,0.0003649278677705302,0,0,5.686494522362928e-05,1.0,5.5801989739447974e-05,5.686494522362928e-05,0.00017823388644293628,0.00030831739326499274,0.0006051194809655359,0,1,0,4.2499331433740025e-05,6.633040490754332e-05,1.0,0.00013378491588344427,1.0,1.2772210614407674e-06,0.0025840165519399015,-0.9767755519205713,0.011770043926784532,1.8392036705728347,1.0,0.0006318030619276965,0.0006439099472228493,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.00024090943311009334,CRASH1000,1
5645.618,1773307740,5645.618,5645.275,5645.275,5644.4336913392835,5643.151331229574,5643.309843808353,5642.919103838055,99.99999997058823,1.2823601097097708,5642.3818,2.0040279070139833,5646.389855814028,5638.373744185972,0.0014206964208015884,0.9037119429055052,0.34000000000001557,6.0223699159244486e-05,0.00020981886323406248,0.0004371083860140191,0.00040900752493315393,0,0,6.075877614478491e-05,1.0,6.075877614478491e-05,6.075877614478491e-05,0.00017786867268528852,0.00030528562278354324,0.0006111123911545131,0,1,0,2.8650419658702993e-05,6.73540425211199e-05,1.0,0.00014310438840749892,1.0,8.11562121532266e-07,0.0025837750743865438,-0.9766915481825761,0.012366042976537723,1.8361291487234952,1.0,0.0006331125325203368,0.0006459843137382917,1.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,0.0002467400380259573,CRASH1000,1
